"artist","genre"
"Sydney Clark","Electronic"
"Connor Peters DDS","Electronic"
"Anna Keith","Pop"
"Zachary Simpson","Hip-Hop"
"Christopher Mcgee","Pop"
"Nathan King","Folk"
"Joshua Santos","Hip-Hop"
"Leonard Brown","Hip-Hop"
"William Ford","Pop"
"Susan Harrell","Electronic"
"Shannon Moore","Electronic"
"Kenneth Lee","R&B"
"George Thomas","Folk"
"Christopher Torres","Pop"
"Richard Edwards","Hip-Hop"
"Diane Hall","Jazz"
"Victoria Morris","Electronic"
"Holly Mitchell","Electronic"
"Rachel Hernandez","Classical"
"Natalie Silva","Pop"
"Kimberly Bernard","Pop"
"Joshua Petty","Hip-Hop"
"Suzanne Singh","Hip-Hop"
"Alison Douglas","Electronic"
"Patrick Bass","Pop"
"Candace Conley","Pop"
"Jennifer Matthews","Jazz"
"Sylvia Wagner MD","Electronic"
"Samantha Smith","Jazz"
"Kimberly Stephenson","R&B"
"Mr. Thomas Mullins PhD","Country"
"Nicole Clark","Hip-Hop"
"Nicole Dunn","Jazz"
"Mrs. Jessica Cole","Hip-Hop"
"Ashley Sandoval","Pop"
"Tracey Nichols","Hip-Hop"
"Brandon Watson","Electronic"
"Sandra Cabrera","Hip-Hop"
"Harold Long","Folk"
"Scott Hicks","Classical"
"Anthony Baker","Pop"
"Dustin Morris","Electronic"
"Wanda Thompson","Electronic"
"Henry Skinner","Hip-Hop"
"Patrick Wells","Hip-Hop"
"Victoria Green","Hip-Hop"
"Sean Wilson","Pop"
"Teresa Robinson","Hip-Hop"
"Vanessa Mack","Hip-Hop"
"Maxwell Parker","Pop"
"Daniel Glover","Pop"
"Maurice Silva","Hip-Hop"
"Timothy Smith","Classical"
"Carol Cobb","Jazz"
"Emma Moon","Electronic"
"Mark Hall","Folk"
"Alison Hubbard","Hip-Hop"
"Tyler Walker","Electronic"
"Jacob Meyers","Hip-Hop"
"Felicia Singh","Hip-Hop"
"Janice Parker","Hip-Hop"
"Richard Grant","Pop"
"Charles Franco","Electronic"
"Jerry Smith","Classical"
"James Austin","Hip-Hop"
"Edward Jordan","Classical"
"William Torres","Electronic"
"Jason Cherry","Pop"
"Heidi Moore","Pop"
"Joshua Castillo","Hip-Hop"
"Elizabeth Peterson","Country"
"Daniel Johnson","Hip-Hop"
"Alex Allen","Pop"
"Douglas Bean","Pop"
"Angela Moss","Electronic"
"Dr. Hector Nelson","Electronic"
"Barbara Barber","Pop"
"Jack Jackson","Pop"
"Andrea Moore","Hip-Hop"
"Michael Hester","Hip-Hop"
"Richard Valdez","Hip-Hop"
"Eric Baker","Pop"
"Robert Mills","Electronic"
"Paula Davis","Electronic"
"Shannon Newman","Hip-Hop"
"Nicole Anderson","Electronic"
"Stephanie Romero","Pop"
"Christopher Hill","Pop"
"Jake Benton","Country"
"Joseph Dudley","Hip-Hop"
"Kelly Higgins","Jazz"
"Lori Huff","Pop"
"Nancy Benton","Hip-Hop"
"David Jefferson","Hip-Hop"
"Stephanie Chung","Pop"
"Sarah Moore","Country"
"Kayla Barrett","Hip-Hop"
"Anna Reed","Hip-Hop"
"Nicholas Johnson","Electronic"
"Melissa Kerr","Folk"
"Brittany Jones","Hip-Hop"
"Christopher Warren","Electronic"
"Stephanie Aguilar","Folk"
"Alexander Jackson","Classical"
"Brian Rogers","Hip-Hop"
"Steven Strong","Hip-Hop"
"Michael Bennett","Electronic"
"Timothy Jones","Hip-Hop"
"Ashley Vega","Pop"
"Annette Baxter","Hip-Hop"
"Melissa Jenkins","Electronic"
"Brian Stewart","Classical"
"Joel Richardson","Electronic"
"Jeffery Norris","Hip-Hop"
"Kimberly Lewis","Pop"
"Kristen Padilla","Electronic"
"Carolyn Brown","Hip-Hop"
"Cindy Hunt DDS","Hip-Hop"
"Kayla Campos DDS","Classical"
"Kevin Ford","Hip-Hop"
"Beverly Chang","Hip-Hop"
"Erin Ware","Hip-Hop"
"Felicia Henderson","Folk"
"Jason Robbins","Jazz"
"Patrick Green","Classical"
"Mr. Nathan Robles","Electronic"
"Shane Alvarez","Electronic"
"Matthew Davidson","Pop"
"Ronald Murphy","Hip-Hop"
"Paige Smith","Pop"
"Lisa Stone","Electronic"
"Tammy Weaver","Country"
"Janice Watson","Pop"
"Barbara Hall","Pop"
"Robert Ramirez","Electronic"
"Nancy Miles","Pop"
"Nathaniel Porter","Pop"
"Scott Hart","Pop"
"Teresa Wang","Pop"
"Elizabeth Garcia","Classical"
"Tamara Smith","Hip-Hop"
"Abigail Bonilla","Country"
"David Wheeler","R&B"
"Christopher Wilson","Hip-Hop"
"Jennifer Graham","Hip-Hop"
"Molly Moore","Electronic"
"Kayla Tanner","Pop"
"Caitlyn Cantu","Electronic"
"Mark Tran","Electronic"
"Benjamin Costa","Hip-Hop"
"Jessica Taylor","Pop"
"Pam Harris","Hip-Hop"
"Renee Sullivan","Pop"
"Donald Vasquez","Pop"
"Alex Snow","R&B"
"Patrick Daugherty","Country"
"Ellen Humphrey","Hip-Hop"
"Rachel Carter","Classical"
"Mr. Kevin Maxwell","Electronic"
"Yolanda Schultz","Pop"
"Suzanne Ramsey","Electronic"
"Albert Leon","Hip-Hop"
"Catherine Ramirez","Folk"
"Kevin Rocha","Folk"
"Nathan Hicks","Hip-Hop"
"Jeremy Lawrence","Hip-Hop"
"Tony Jenkins","Pop"
"Michael Lee","Electronic"
"Dorothy Warren","Pop"
"Michael Yates","Pop"
"Pedro Gomez","Electronic"
"Brooke Mason","Hip-Hop"
"Alexander White","Hip-Hop"
"Danielle Marshall","Electronic"
"Brett Bush","Classical"
"Julie Lopez","Electronic"
"Sandra Rodriguez","Country"
"Christopher Daniels","Electronic"
"Dan Wood","Electronic"
"Robert Murray","Classical"
"Lisa Scott","Pop"
"Joe Bradley","Hip-Hop"
"Paul Underwood","Hip-Hop"
"Amanda Vega","Electronic"
"Joseph Roberts","Hip-Hop"
"Nancy Randall","Pop"
"Scott Thornton","Electronic"
"Jeremy Gomez","Pop"
"Terry Wheeler","Hip-Hop"
"Shane Lowe","Classical"
"Tina Hill","Jazz"
"Julie Scott","Hip-Hop"
"Tyler Smith","Jazz"
"Mercedes Morgan","Hip-Hop"
"Melanie Salas","Pop"
"Melanie Johnson","Electronic"
"Marcus Chavez","Electronic"
"April Smith MD","Country"
"Victoria Smith","Electronic"
"Susan Gomez","Jazz"
"Anna Jackson","Pop"
"Richard Nichols","Electronic"
"Christine Campbell","Hip-Hop"
"Chelsea Simpson","Pop"
"Lindsay Stewart","Classical"
"Brandon Turner","Country"
"Melinda Crawford","Electronic"
"Brian Howard","Electronic"
"Marissa Osborn","Electronic"
"Tyler Case","Electronic"
"Courtney Jones","Pop"
"Lisa Calhoun","Folk"
"Kevin Medina","Electronic"
"Justin Williams","Pop"
"Robert Mata","Hip-Hop"
"Jonathan Huynh","Jazz"
"Steven Brown","Classical"
"Jill Carrillo","Pop"
"Tyler Stark","Hip-Hop"
"Rachel Miller","Electronic"
"Allen Walker","Electronic"
"Christopher Shields","Pop"
"Tracy Jones","Pop"
"Lynn Williams","Jazz"
"Jennifer Owens","Hip-Hop"
"Amy Johnson","Electronic"
"Travis Hansen","Hip-Hop"
"Erin Martinez","Pop"
"Richard Peterson","Jazz"
"Robert Santos","Electronic"
"Christian Lewis","Pop"
"Michael Glover","Pop"
"James Chan","Pop"
"Jessica Harvey","Pop"
"Amy Greene","Pop"
"David Byrd","Pop"
"Tyler Myers","Pop"
"Anthony Soto","Jazz"
"Matthew Anderson","Pop"
"Melissa Mclaughlin","Country"
"Sarah Kim","Hip-Hop"
"Janet Carpenter","Hip-Hop"
"Jennifer Lowe","Folk"
"Scott Nolan","Electronic"
"William Williamson","Hip-Hop"
"Michelle Oneal","Jazz"
"Jonathan Smith","Pop"
"Casey Snow","Electronic"
"Alex Khan","Electronic"
"Richard Glenn","Electronic"
"Brian Martin","R&B"
"Brooke Martinez","Pop"
"Ryan Smith","Hip-Hop"
"Christopher Norton","Pop"
"Ralph Sharp","Pop"
"Amber Ortiz","Electronic"
"Justin Hill","Electronic"
"Nicole Patton","R&B"
"Kenneth Jones","Electronic"
"Mark Banks","Country"
"Devin Carpenter","Pop"
"Barry Kaufman","Electronic"
"Brian Waters","Hip-Hop"
"Monica Porter","Hip-Hop"
"Amy Johnson","Electronic"
"Courtney Vaughan","Hip-Hop"
"Mary Williams","Pop"
"Emily Russell","Electronic"
"Megan Williams","Electronic"
"Jeremy Booth","Folk"
"Sarah Randall","Electronic"
"Michael Brown","Jazz"
"Allen Rodriguez IV","Electronic"
"Michael Miller","Pop"
