"song_id","song_title","artist","album","release_date"
"SP0001","Space executive series.","Sydney Clark","What.","1997-11-08 00:00:00"
"SP0002","Price last painting.","Connor Peters DDS","Nature politics.","2015-05-10 00:00:00"
"SP0003","Piece.","Anna Keith","Visit.","2024-07-08 00:00:00"
"SP0004","Power industry your.","Zachary Simpson","Behavior evening.","2022-08-15 00:00:00"
"SP0005","Food animal second.","Christopher Mcgee","Front.","2023-03-05 00:00:00"
"SP0006","Whatever Mr send.","Nathan King","Various experience.","2015-11-29 00:00:00"
"SP0007","Each leg.","Joshua Santos","Determine.","1996-03-16 00:00:00"
"SP0008","Person then enjoy.","Leonard Brown","Sense lot.","2017-08-14 00:00:00"
"SP0009","Poor.","William Ford","Organization.","2002-02-28 00:00:00"
"SP0010","East husband.","Susan Harrell","List item.","2016-12-06 00:00:00"
"SP0011","Mother building well.","Shannon Moore","Process if.","2002-11-12 00:00:00"
"SP0012","Pattern personal tree.","Kenneth Lee","Police customer.","2003-08-01 00:00:00"
"SP0013","Possible whatever continue special.","George Thomas","We summer.","2008-09-05 00:00:00"
"SP0014","Floor someone minute.","Christopher Torres","Few control.","2008-06-04 00:00:00"
"SP0015","Various director cell.","Richard Edwards","Doctor.","2004-06-01 00:00:00"
"SP0016","Season available lot.","Diane Hall","Project and.","2011-02-05 00:00:00"
"SP0017","Along new.","Victoria Morris","With small.","2009-06-30 00:00:00"
"SP0018","Large stock buy oil.","Holly Mitchell","Management artist.","2010-03-24 00:00:00"
"SP0019","Computer professor score.","Rachel Hernandez","Major ahead.","1996-07-06 00:00:00"
"SP0020","Site difference.","Natalie Silva","Exist game.","2010-06-14 00:00:00"
"SP0021","Country real.","Kimberly Bernard","Success investment.","1996-10-03 00:00:00"
"SP0022","Friend material rather.","Joshua Petty","Across.","2021-12-30 00:00:00"
"SP0023","Matter class specific.","Suzanne Singh","Leave.","2014-11-15 00:00:00"
"SP0024","Not start.","Alison Douglas","Trip international.","2023-06-18 00:00:00"
"SP0025","Consumer.","Patrick Bass","Again.","2016-02-08 00:00:00"
"SP0026","Successful.","Candace Conley","Response.","1998-05-01 00:00:00"
"SP0027","Boy red.","Jennifer Matthews","Year hard.","2012-07-12 00:00:00"
"SP0028","Meeting summer else.","Sylvia Wagner MD","Chair.","1995-03-02 00:00:00"
"SP0029","Take gas.","Samantha Smith","Eight join.","2024-05-21 00:00:00"
"SP0030","Would director good.","Kimberly Stephenson","School.","2011-09-01 00:00:00"
"SP0031","Edge yes.","Mr. Thomas Mullins PhD","Determine.","2008-11-24 00:00:00"
"SP0032","Beautiful success along.","Nicole Clark","Third wonder.","2000-07-02 00:00:00"
"SP0033","Fact cell wall tend.","Nicole Dunn","Film peace.","2012-11-28 00:00:00"
"SP0034","Side.","Mrs. Jessica Cole","Old.","2002-03-04 00:00:00"
"SP0035","Sister marriage have.","Ashley Sandoval","Process.","2021-10-22 00:00:00"
"SP0036","Get.","Tracey Nichols","Draw war.","1996-04-22 00:00:00"
"SP0037","Cultural still building.","Brandon Watson","Next describe.","2019-06-18 00:00:00"
"SP0038","Attack office.","Sandra Cabrera","Glass tell.","2021-06-12 00:00:00"
