"song_id","duration","popularity","language","label","composer"
"SP0001",282,42,"English","Def Jam","Amy Hatfield"
"SP0002",127,50,"English","Universal Music","Jason Gregory"
"SP0003",239,10,"English","Universal Music","Rachel Lopez"
"SP0004",214,86,"English","Sony Music","Thomas Li"
"SP0005",273,63,"English","Def Jam","Adam Wagner"
"SP0006",312,74,"English","Indie","Brad Hicks"
"SP0007",336,49,"Japanese","Def Jam","Henry Willis"
"SP0008",237,9,"English","Atlantic Records","Keith Horton"
"SP0009",239,74,"Spanish","Warner Music","James Roth"
"SP0010",216,2,"English","Warner Music","Maria Castro"
"SP0011",161,81,"English","Universal Music","Barbara Castaneda"
"SP0012",345,88,"English","Def Jam","Lauren Martinez"
"SP0013",131,73,"English","Def Jam","Brian Wise Jr."
"SP0014",239,62,"English","Universal Music","Bruce Bonilla"
"SP0015",237,29,"English","Atlantic Records","Nicholas Reese"
"SP0016",231,83,"English","Def Jam","Melissa Clark"
"SP0017",230,58,"English","Universal Music","Daniel George"
"SP0018",280,85,"English","Sony Music","Kristin Martinez"
"SP0019",129,57,"Spanish","Warner Music","Jessica Donaldson"
"SP0020",314,88,"English","Def Jam","Michael Jones"
"SP0021",173,94,"Japanese","Sony Music","Peter Griffith"
"SP0022",293,63,"English","Warner Music","Jill Wu"
"SP0023",256,42,"English","Def Jam","Stephen Lewis"
"SP0024",173,80,"English","Sony Music","Susan Montoya"
"SP0025",273,43,"English","Sony Music","Ashley Rivera"
"SP0026",312,36,"English","Sony Music","Gregory George"
"SP0027",186,38,"English","Indie","Heather Ortiz"
"SP0028",271,90,"English","Indie","Michael Lee"
"SP0029",274,14,"English","Indie","Connie Johnson"
"SP0030",323,80,"English","Indie","Steven Travis"
"SP0031",188,75,"German","Atlantic Records","Kevin Jennings"
"SP0032",211,82,"English","Universal Music","Teresa Crane"
"SP0033",288,72,"English","Warner Music","William Snyder"
"SP0034",239,99,"French","Indie","Angela Chambers"
"SP0035",260,65,"English","Indie","Tiffany Rodriguez"
"SP0036",184,60,"Korean","Warner Music","Joshua Martin"
"SP0037",194,95,"German","Universal Music","John Anderson MD"
"SP0038",201,39,"English","Def Jam","Cory Padilla"
"SP0039",246,76,"English","Warner Music","Ashley Rivera"
"SP0040",319,74,"Spanish","Sony Music","Russell Gonzalez"
"SP0041",196,39,"English","Warner Music","Paul Foster"
"SP0042",238,30,"English","Atlantic Records","Joshua Sheppard"
"SP0043",194,44,"English","Def Jam","Mark Kane"
"SP0044",110,77,"English","Sony Music","Jesse Scott"
"SP0045",223,43,"English","Universal Music","Erica Long"
"SP0046",256,4,"English","Warner Music","Hayley Jones"
"SP0047",150,18,"English","Sony Music","Reginald Herrera"
"SP0048",240,42,"English","Sony Music","Amy Diaz"
"SP0049",252,38,"Korean","Atlantic Records","Kelsey Weber"
"SP0050",234,86,"English","Indie","Suzanne Macdonald"
"SP0051",252,4,"English","Atlantic Records","Corey Watkins"
"SP0052",267,9,"Korean","Warner Music","Jesse Campbell"
"SP0053",324,7,"English","Indie","Kristina Mayo"
"SP0054",382,40,"English","Sony Music","Roger Perez MD"
"SP0055",268,23,"Spanish","Warner Music","Tonya Curtis"
"SP0056",299,45,"Spanish","Indie","Brian Mcneil"
"SP0057",249,20,"English","Universal Music","Kathleen Ruiz"
"SP0058",242,12,"Spanish","Indie","Jessica Wallace"
"SP0059",239,74,"English","Sony Music","Ashley Williamson"
"SP0060",243,73,"Korean","Sony Music","Matthew Orr"
"SP0061",316,71,"Spanish","Warner Music","Wanda Chen"
"SP0062",239,48,"English","Universal Music","Jessica Meyer"
"SP0063",159,58,"English","Warner Music","Janet Mcdowell"
"SP0064",239,39,"German","Sony Music","Andrew Martinez"
"SP0065",239,57,"French","Def Jam","Joshua Marks"
"SP0066",223,23,"Spanish","Indie","Mark Smith"
"SP0067",241,86,"English","Atlantic Records","Regina Garrett"
"SP0068",300,54,"English","Sony Music","Ms. Amber Brennan"
"SP0069",347,78,"English","Sony Music","Robert Sutton"
"SP0070",185,75,"English","Sony Music","Mark Wilson"
"SP0071",239,12,"Italian","Universal Music","David Griffith"
"SP0072",196,31,"English","Def Jam","Rachel Dunn"
"SP0073",169,17,"Spanish","Indie","Nichole Collins"
"SP0074",207,48,"English","Warner Music","Eduardo Jackson Jr."
"SP0075",205,75,"Italian","Indie","Tony Miller"
"SP0076",278,24,"English","Warner Music","Samantha Miller"
"SP0077",235,52,"English","Atlantic Records","Stacey Garcia"
"SP0078",263,69,"Spanish","Def Jam","Cody Adams"
"SP0079",242,28,"English","Def Jam","Douglas Perkins"
"SP0080",204,85,"English","Sony Music","Kimberly Martinez"
"SP0081",242,76,"English","Atlantic Records","Luis Schultz"
"SP0082",158,100,"English","Sony Music","Erin Watson"
"SP0083",280,45,"English","Universal Music","Mr. Michael Davis DDS"
"SP0084",239,60,"English","Universal Music","Gary Nelson"
"SP0085",94,74,"English","Universal Music","Jesus Fleming"
"SP0086",208,35,"English","Universal Music","Devin Dougherty"
"SP0087",220,99,"French","Sony Music","Jeff Smith"
"SP0088",299,11,"English","Atlantic Records","Katelyn Sandoval"
"SP0089",179,66,"English","Indie","Craig Gonzalez"
"SP0090",247,65,"English","Sony Music","Christine Walton"
"SP0091",176,50,"English","Indie","Jessica Poole"
"SP0092",285,85,"English","Warner Music","Randy Butler"
"SP0093",186,98,"English","Indie","Kelli Hill"
"SP0094",239,50,"German","Sony Music","Rebecca Colon"
"SP0095",259,12,"English","Indie","Valerie Oliver"
"SP0096",261,76,"English","Warner Music","Justin Burns"
"SP0097",235,47,"Japanese","Indie","Amy Vazquez"
"SP0098",259,51,"English","Sony Music","Patrick Reynolds"
"SP0099",149,23,"Korean","Def Jam","Aaron Taylor"
"SP0100",250,90,"Japanese","Warner Music","Eduardo King MD"
"SP0101",247,21,"Korean","Sony Music","Tyler Thomas"
"SP0102",136,45,"Spanish","Sony Music","Crystal Reynolds"
"SP0103",239,56,"English","Universal Music","Tara Mccall"
"SP0104",240,98,"English","Indie","Darren Christensen"
"SP0105",238,67,"German","Sony Music","Chelsea Davis"
"SP0106",274,59,"German","Universal Music","Cindy Cannon"
"SP0107",193,41,"English","Indie","Phillip Young"
"SP0108",239,44,"French","Universal Music","Bryan Romero"
"SP0109",217,88,"English","Indie","Stephen Hamilton"
"SP0110",129,63,"English","Indie","Anna Williams"
"SP0111",231,13,"French","Indie","Jessica Rojas"
"SP0112",289,69,"English","Indie","Courtney Stanton"
"SP0113",205,8,"English","Atlantic Records","Christine Li"
"SP0114",258,32,"English","Atlantic Records","Michael Castro"
"SP0115",239,59,"English","Indie","Dr. Nicole Diaz"
"SP0116",359,35,"English","Sony Music","Michael Buck"
"SP0117",268,98,"English","Indie","Christy Johnson"
"SP0118",275,54,"Korean","Warner Music","Mary Medina"
"SP0119",295,64,"German","Sony Music","Makayla Richardson"
"SP0120",230,66,"English","Sony Music","Nicole Mercado"
"SP0121",180,5,"English","Warner Music","Kevin Morgan"
"SP0122",257,46,"English","Sony Music","Nicholas Carlson"
"SP0123",267,10,"English","Atlantic Records","Dr. Madison Gray"
"SP0124",258,6,"English","Indie","Charlene Morales"
"SP0125",345,84,"English","Def Jam","Michael Andersen"
"SP0126",201,60,"English","Warner Music","Kristi Adams"
"SP0127",186,60,"Italian","Atlantic Records","Carmen Wiley"
"SP0128",266,20,"English","Sony Music","Cynthia Brooks"
"SP0129",240,24,"English","Universal Music","Nancy Nelson"
"SP0130",246,46,"English","Indie","Cameron Foster"
"SP0131",268,38,"Italian","Indie","Mr. George Love DDS"
"SP0132",244,20,"English","Atlantic Records","Katherine Riley"
"SP0133",267,2,"English","Def Jam","Sandra Robinson"
"SP0134",222,81,"English","Sony Music","Jennifer Flores"
"SP0135",190,82,"German","Indie","Jose Pollard"
"SP0136",274,20,"English","Atlantic Records","Megan Marquez"
"SP0137",224,35,"English","Indie","Mary Guzman"
"SP0138",243,100,"English","Def Jam","Angela Reynolds"
"SP0139",301,13,"English","Warner Music","Jessica Simmons"
"SP0140",302,96,"English","Warner Music","Scott Smith"
"SP0141",244,35,"English","Def Jam","Margaret Johnson"
"SP0142",287,2,"English","Warner Music","Amy Miller"
"SP0143",292,58,"English","Universal Music","Gary Johnson"
"SP0144",239,68,"Korean","Warner Music","Alyssa Sanchez"
"SP0145",236,52,"French","Sony Music","Jordan Pratt"
"SP0146",254,60,"English","Atlantic Records","Melissa Mcdowell"
"SP0147",227,53,"English","Universal Music","Amanda Robinson"
"SP0148",233,88,"Italian","Universal Music","Henry Sutton"
